Field	Subfield	In Records	Total
000		3048	3048
001		28	28
003		28	28
006		39	39
007		1742	1777
008		3048	3048
033		26	26
	$a		41
035		3048	3048
	$b		3048
	$c		3048
	$a		3048
039		22	22
	$a		22
040		3035	3035
	$d		316
	$b		1140
	$e		1765
	$a		3035
041		3031	3031
	$a		3031
042		2978	2978
	$a		2978
043		3030	3030
	$a		3030
093		3023	3127
	$a		3127
100		1206	1206
	$d		642
	$e		1002
	$q		286
	$a		1206
110		1285	1285
	$e		456
	$b		13
	$a		1285
245		3048	3048
	$b		16
	$a		3048
	$p		9
	$c		18
	$h		1282
	$n		2
246		16	16
	$a		16
260		1390	1390
	$c		1390
264		1656	1656
	$c		1655
	$a		1
300		3047	3211
	$b		3199
	$c		2861
	$a		3211
	$g		1
336		1756	1759
	$2		1758
	$b		579
	$a		1759
337		1755	1771
	$2		1770
	$b		575
	$a		1771
338		1756	1794
	$2		1794
	$b		844
	$a		1794
347		4	6
	$2		6
	$b		6
	$a		6
500		2892	4408
	$a		4408
505		3	3
	$a		3
506		48	49
	$a		49
520		1237	1280
	$a		1280
524		1	1
	$a		1
530		12	13
	$b		5
	$c		3
	$a		13
534		21	21
	$p		5
	$a		16
	$l		2
535		30	30
	$3		10
	$a		30
540		2973	2973
	$a		2973
541		1	1
	$a		1
544		6	6
	$n		2
	$a		4
545		22	22
	$a		22
546		1	1
	$a		1
561		2	2
	$a		2
581		225	250
	$a		250
593		7	7
	$a		7
600		613	2262
	$b		9
	$c		237
	$a		2262
	$q		96
	$v		2233
	$d		707
	$t		8
	$z		78
	$x		231
	$y		3
	$e		10
610		1832	3270
	$b		356
	$c		5
	$a		3270
	$v		3252
	$d		5
	$z		66
	$x		321
	$n		4
611		79	88
	$c		36
	$a		88
	$v		82
	$d		39
	$z		2
	$x		6
	$n		12
630		17	26
	$x		1
	$v		25
	$a		26
	$t		1
650		3035	8189
	$a		8191
	$v		5190
	$d		1
	$z		8859
	$x		468
	$y		57
	$2		486
651		1610	3011
	$a		3011
	$v		2990
	$z		17
	$x		435
	$y		5
	$2		2
655		46	47
	$a		47
	$v		3
	$z		38
	$y		4
	$2		47
700		16	20
	$c		2
	$a		20
	$q		1
	$d		6
	$e		6
710		138	153
	$e		13
	$b		1
	$a		153
711		6	6
	$d		6
	$c		6
	$a		6
740		2	2
	$a		2
787		4	5
	$t		5
	$o		2
800		3	3
	$a		3
	$q		2
	$v		3
	$d		2
	$t		3
810		5	5
	$b		4
	$v		5
	$a		5
	$t		5
830		2963	3073
	$6		1
	$v		3025
	$a		3073
856		3048	20796
	$x		2
	$3		10398
	$z		10398
	$u		20796
902		3048	3048
	$a		3048
945		3044	8943
	$a		11041
	$u		22
	$i		3
	$l		8943
	$m		8943
984		2984	2984
	$c		2984
	$a		2984
999		3048	3048
	$b		3048
	$c		3048
	$f		3048
	$g		3048
	$d		3048
	$e		3048
